All,Todos
None,Ninguno
"Allowed Scopes","Vistas permitidas"
"You need more permissions to delete this item(s): %1.","Necesitas más permisos para eliminar este artículo(s): %1."
"You need more permissions to apply some of the rule updates.","Necesitas más permisos para aplicar algunas de las actualizaciones de las reglas."
"Please assign this entity to a store view.","Por favor asigne esta entidad a una vista de la tienda."
"You can create orders only in an active store.","Sólo puedes crear pedidos en una tienda activada."
"Please assign this item to a store view.","Por favor, asigna una vista de tienda a éste elemento."
"You need more permissions to save this item.","Necesita más permisos para guardar este artículo."
"You need more permissions to delete this item.","Necesita más permisos para eliminar este artículo."
"You need more permissions to view this item.","Necesita más permisos para ver este artículo."
"Please specify at least one website or one store group.","Especifique al menos un sitio web o un grupo de tienda."
"You need more permissions to set All Scopes to a Role.","Necesita más permisos para establecer todos los ámbitos en un rol."
"Incorrect website ID: %1","ID de sitio incorrecto: %1"
"You need more permissions to access website ""%1"".","Necesitas más permisos para acceder a la página web ""%1""."
"Incorrect store ID: %1","ID de tienda incorrecta: %1"
"You need more permissions to save this setting.","Necesitas más permisos para guardar esta configuración."
"Role Scopes","Alcance del Role"
Custom,Personalizado
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","No tiene permisos para guardar este artículo en el alcance de la vista de tienda actual. Por favor, cambie a la vista de tienda permitida"
"More permissions are needed to delete the ""%1"" item.","Se necesitan más permisos para eliminar el elemento ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Esta entidad debe ser asignada a una vista de la tienda. Verificar la asignación de entidad e inténtelo de nuevo."
"Orders can only be completed in an active store. Verify the store and try again.","Los pedidos sólo se pueden completar en una tienda activa. Verifique la tienda e inténtelo de nuevo."
"This item needs to be assigned to a store view. Assign item and try again.","Este elemento necesita ser asignado a una vista de la tienda. Asigne un elemento y vuelva a intentarlo."
"More permissions are needed to save this item.","Se necesitan más permisos para guardar este elemento."
"More permissions are needed to delete this item.","Más permisos son necesarios para eliminar este elemento."
"More permissions are needed to view this item.","Se necesitan más permisos para guardar este elemento."
"At least one website or store group needs to be selected. Select and try again.","Debe seleccionarse al menos un sitio web o grupo de tienda. Seleccione e inténtelo de nuevo."
"More permissions are needed to set All Scopes to a Role.","Más permisos son necesarios para fijar en todos los ámbitos en un Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","El ID de la Página Web ""%1"" es incorrecto. Verificar el ID de la página web e inténtelo de nuevo."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","El ID de la tienda ""%1"" es incorrecto. Verificar el ID de la página web e inténtelo de nuevo."
"More permissions are needed to save this setting.","Más permisos son necesarios para guardar esta configuración."
"Read Details","Leer detalles"
"Mark as Read","Marcar como leído"
"Are you sure?","¿Seguro que quiere continuar?"
Remove,Eliminar
"Messages Inbox","Bandeja de entrada"
"You have %1 new system messages","Tiene %1 nuevos mensajes del sistema"
"You have %1 new system message","Tiene %1 nuevos mensajes del sistema"
"Incoming Message","Mensaje entrante"
close,cerrar
Notifications,Notificaciones
"The message has been marked as Read.","El mensaje se ha marcado como leído."
"We couldn't mark the notification as Read because of an error.","No pudimos marcar la notificación como leída debido a un error."
"Please select messages.","Seleccione mensajes."
"A total of %1 record(s) have been marked as Read.","Un total de %1 registro(s) han sido marcado como leídos."
"Total of %1 record(s) have been removed.","El total de %1 de registro(s) han sido eliminados."
"We couldn't remove the messages because of an error.","No hemos podido eliminar los mensajes debido a un error."
"The message has been removed.","El mensaje ha sido eliminado."
"1 Hour","1 Hora"
"2 Hours","2 Horas"
"6 Hours","6 Horas"
"12 Hours","12 Horas"
"24 Hours","24 Horas"
critical,crítico
major,principal
minor,menor
notice,aviso
"Wrong message type","Tipo de mensaje incorrecto"
"Wrong notification ID specified.","ID de la notificación especificada es incorrecto."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","no se recomienda utilizar {{base_url}} en un entorno de producción para declarar la URL Base Insegura/Segura. Le recomendamos cambiar este valor en su <a href=""%1"">configuración</a> de Magento."
"One or more of the Cache Types are invalidated: %1. ","Uno o más de los tipos de memoria de caché son inválidos: %1 . "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, vaya a <a href=""%1"">Administración de la Cache</a> y actualice los tipos de memoria de caché."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No hemos podido sincronizar uno o más archivos multimedia. Por favor, consulte el archivo de registro para más detalles."
"Synchronization of media storages has been completed.","La sincronización de almacenamiento multimedia se ha completado."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Su servidor web no está configurado correctamente y permite el acceso no autorizado a archivos sensibles. Por favor, póngase en contacto con su proveedor de hosting."
"System Messages:","Mensajes del Sistema:"
"Critical System Messages","Mensajes Críticos del Sistema"
"Major System Messages","Mensajes principales del sistema"
"System messages","Mensajes del Sistema"
Close,Cerrar
"See All (","Ver todos ("
" unread)"," no leídos)"
"Show Toolbar","Mostrar Barra de Herramientas"
"Show List","Mostrar la Lista"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtener el feed"
"Update Frequency","Frecuencia de Actualización"
"Last Update","Última Actualización"
Severity,Importancia
"Date Added","Fecha de Creación"
Message,Mensaje
Actions,Acciones
"Close popup","Cerrar ventana emergente"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Ha visto y resuelto todos los avisos recientes del sistema. Por favor actualice la página web para borrar la notificación de alerta."
"Manage Shopping Cart","Administrar carrito de compras"
"Create Order","Crear pedido"
Back,Atrás
"Add Products","Añadir productos"
"Update Items and Quantities","Actualizar Artículos y Cantidades"
"Are you sure you want to clear your cart?","¿Está seguro que desea borrar su carrito de compras?"
"Clear my shopping cart","Vaciar mi carrito de compras"
"Add selections to my cart","Añadir seleccionados a mi carrito de compras"
Cancel,Cancelar
"Shopping Cart for %1 in %2","Carrito de compras para %1 en %2"
"Select products you want to buy","Seleccione los artículos que desea comprar"
Product,Producto
Price,Precio
Quantity,Cantidad
"Products in the Comparison List (%1)","Artículos en la lista de comparación (%1)"
"Last ordered items (%1)","Últimos artículos pedidos (%1)"
Products,Productos
ID,"Número de Identificación (ID)"
SKU,"Unidad de mantenimiento de existencias (SKU)"
"Recently Compared Products (%1)","Productos comparados recientemente (%1)"
"Recently Viewed Products (%1)","Productos vistos recientemente (%1)"
"Add to Shopping Cart by SKU","Añadir al carrito de compras por SKU"
"Add to Shopping Cart","Añadir al carrito de compras"
"Wish List (%1)","Lista de deseos (%1)"
Apply,Aplicar
Configure,Configurar
"Add to Order by SKU","Añadir al pedido por SKU"
"Add to Order","Añadir al pedido"
"Add Products to Order","Añadir artículos al pedido"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> artículo(s) requieren su atención.</span>"
"Remove All","Remover todos"
"Only %1%2%3 left in stock","Sólo %1%2%3 disponible"
"You can buy up to %1 of these per purchase.","Usted puede comprar %1 de estos por compra."
"You must buy at least %1 of these per purchase.","Usted debe comprar por lo menos %1 de éstos por compra."
"Specify the product's options.","Especifique las opciones del artículo."
"Alert me when this item is available.","Avísame cuando este artículo esté disponible."
"We can't find this customer.","No podemos encontrar este cliente."
"Shopping cart management is disabled for this customer.","La gestión del carrito de compras está deshabilitada para este cliente."
"We can't find this store.","No podemos encontrar esta tienda."
Customers,Clientes
"Shopping Cart",Cesta
"Sorry, something went wrong. You can find out more in the error log.","Lo sentimos, algo salió mal. Encontrarás más información en el registro de errores."
"You do not have access to this.","No tienes acceso a esto."
"Ordered item id is not received.","No se recibió la id del artículo solicitado."
"Ordered item is not loaded.","No se cargó el artículo seleccionado."
"Quote item id is not received.","No se recibió la id de la cita del artículo."
"Quote item is not loaded.","No se cargó la cita del artículo."
"The wish list item id is not received.","No se recibió el identificador del artículo  de la lista de deseos."
"The wish list item is not loaded.","El artículo de la lista de deseo no está cargado."
"An error has occurred. See error log for details.","Ha ocurrido un error. Ver registro de errores para obtener más información."
"You cannot configure a product.","No puede configurar un artículo."
"You removed the items.","Eliminó los elementos."
"You removed the item.","Eliminó el elemento."
"You added %1 to your shopping cart.","Añadiste %1 a tu cesta."
"You cannot add a product.","No puedes añadir un producto."
"Order by SKU","Comprar por SKU"
"The SKU was not found in the catalog.","El SKU no fue encontrado en el catálogo."
"Availability: Out of stock.","Disponibilidad: agotado."
"We don't have as many of these as you want.","No tenemos la cantidad que usted desea."
"You can't add this many to your cart.","No puedes añadir esta cantidad a su carrito de compras."
"You need to choose options for your item.","Tiene que elegir opciones para su ítem."
"We can't add the item to your cart.","No pudimos añadir el producto a tu carrito de compras."
"Please enter an actual number in the ""Qty"" field.","Introduzca un número en el campo ""Cantidad"", por favor."
"This product is assigned to another website.","Este artículo se asignó a otro sitio Web."
"You can add only enabled products.","Sólo puedes añadir productos habilitados."
"You cannot upload this file.","No puede cargar este archivo."
"The file is empty.","El archivo está vacío."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","No introdujo un SKU de artículo. Por favor <a href=""%1""> haga clic aquí</a> para agregar artículo(s) por SKU."
"You have not entered a product SKU.","No introdujo un SKU de artículo."
"We can't add a product to cart by id ""%1"".","No pudimos añadir el producto con el identificador ""%1"" a su cesta."
"Something went wrong while reordering this product.","Algo falló al reordenar este artículo."
"We can't find this wish list.","No podemos encontrar los favoritos."
"You added %1 product to your shopping cart.","Añadiste %1 artículos a su carrito de compras."
"You added %1 products to your shopping cart.","Añadiste %1 artículos a su carrito de compras."
"%1 product requires your attention.","El artículo %1 requiere su atención."
"%1 products require your attention.","Los artículos %1 requieren su atención."
"Yes, for Specified Customer Groups","Sí, para grupos de cliente especificados"
"Yes, for Everyone","Sí, para todos"
No,"No 	"
"The file is corrupt.","El archivo está dañado."
"Please upload the file in .csv format.","Por favor, sube el archivo en formato CSV."
"%1 item(s) need your attention.","%1 artículo(s) necesitan su atención."
"Apply Coupon Code","Aplicar cupón"
"Remove Coupon Code","Eliminar cupón"
"The coupon code ""%1"" is not valid.","El cupón ""%1"" no es válido."
"Shopping Cart Items","Artículos del carrito de compras"
Qty,Cantidad
Discount,Descuento
"Row Subtotal","Subtotal de la fila"
Action,Acción
"No ordered items","No hay artículos pedidos"
"Total %1 product(s)","%1 artículo(s) en total"
"Please select","Por favor, seleccione"
"Move to Wish List","Mover a favoritos"
"No item specified.","No se especificó artículo."
"Are you sure you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"SKU number","Número SKU"
"Upload File","Subir archivo"
"Your csv file must include ""sku"" and ""qty"" columns.","Su archivo csv debe incluir las columnas ""sku"" y ""cantidad""."
Reset,Restablecer
"Only <span id=""%1_max_allowed"">%2</span> in stock","Sólo <span id=""%1_max_allowed"">%2</span> en stock"
Item,Articulo
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"What's this?","¿Qué es esto?"
"Incl. Tax","Impuestos incl."
"Excl. Tax","Impuestos NO Incl."
"Edit item parameters","Editar los parámetros del artículo"
Edit,Editar
"Remove item","Quitar artículo"
"Products Requiring Attention","Artículos que requieren su atención"
"Add to Cart","Añadir al carrito"
Sku,SKU
File,Archivo
"File extensions allowed: .csv","Extensiones de archivo permitidas: .csv"
"Add Row","Añadir fila"
"Remove Row","Remover fila"
